Year,Make,Model,Price,Mileage,URL
2008,Honda,civic,2100,98000,https://www.facebook.com//marketplace/item/3684863051743957/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,5400,166000,https://www.facebook.com//marketplace/item/1093377595158330/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,5800,154000,https://www.facebook.com//marketplace/item/881908730225910/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2003,Honda,civic,3750,163000,https://www.facebook.com//marketplace/item/900117161637758/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,13500,64000,https://www.facebook.com//marketplace/item/1540615826745786/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Honda,civic,6500,198000,https://www.facebook.com//marketplace/item/220119111089853/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005,Honda,civic,3100,193000,https://www.facebook.com//marketplace/item/2604775323007538/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Honda,civic,4000,96000,https://www.facebook.com//marketplace/item/1471188246785991/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,10950,136000,https://www.facebook.com//marketplace/item/306415795603432/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2000,Honda,civic,1500,170000,https://www.facebook.com//marketplace/item/365821665789058/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006,Honda,civic,4400,181000,https://www.facebook.com//marketplace/item/634053502257031/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Honda,civic,14990,89000,https://www.facebook.com//marketplace/item/654261556549345/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005,Honda,civic,2800,197000,https://www.facebook.com//marketplace/item/2551975848309706/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,6995,194000,https://www.facebook.com//marketplace/item/1373561736915009/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,14995,57000,https://www.facebook.com//marketplace/item/837051924768125/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002,Honda,civic,3200,182000,https://www.facebook.com//marketplace/item/309611035273920/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,9990,161000,https://www.facebook.com//marketplace/item/1015676032805709/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,5800,180000,https://www.facebook.com//marketplace/item/769623151540638/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,10000,104000,https://www.facebook.com//marketplace/item/3652308578430782/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,17900,151000,https://www.facebook.com//marketplace/item/295153060025169/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,6980,173000,https://www.facebook.com//marketplace/item/866166821447853/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,7998,130000,https://www.facebook.com//marketplace/item/1189628225758751/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,9799,164000,https://www.facebook.com//marketplace/item/1757902131335707/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013,Honda,civic,14749,78000,https://www.facebook.com//marketplace/item/411165231564961/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,10500,163000,https://www.facebook.com//marketplace/item/1277699759594236/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,16990,150000,https://www.facebook.com//marketplace/item/654059523378824/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,6000,200000,https://www.facebook.com//marketplace/item/830204822226344/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2001,Honda,civic,3000,200000,https://www.facebook.com//marketplace/item/1052153446139212/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,11490,93000,https://www.facebook.com//marketplace/item/2464507120398598/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,Honda,civic,16999,120000,https://www.facebook.com//marketplace/item/1034651071185845/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,Honda,civic,17000,123000,https://www.facebook.com//marketplace/item/345127541261295/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,5750,180000,https://www.facebook.com//marketplace/item/1071747327395448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Honda,civic,21000,96000,https://www.facebook.com//marketplace/item/654269160026371/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Honda,civic,9000,128000,https://www.facebook.com//marketplace/item/181054081724058/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2011,Honda,civic,7495,195000,https://www.facebook.com//marketplace/item/884291216445513/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Honda,civic,8800,152000,https://www.facebook.com//marketplace/item/3692021524360868/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,14500,145000,https://www.facebook.com//marketplace/item/735702255038337/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,5950,199000,https://www.facebook.com//marketplace/item/866211231633980/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Honda,civic,1245,124000,https://www.facebook.com//marketplace/item/1375446273409179/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2005,Honda,civic,4000,180000,https://www.facebook.com//marketplace/item/359198073169510/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007,Honda,civic,6500,130000,https://www.facebook.com//marketplace/item/863982581723704/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,22000,62000,https://www.facebook.com//marketplace/item/718587220303571/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,13650,139000,https://www.facebook.com//marketplace/item/879796933544957/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Honda,civic,22900,67000,https://www.facebook.com//marketplace/item/353668920459106/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Honda,civic,19998,159000,https://www.facebook.com//marketplace/item/709195471231616/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,7499,175000,https://www.facebook.com//marketplace/item/709291914565216/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,16900,137000,https://www.facebook.com//marketplace/item/1039751390556116/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2003,Honda,civic,6000,152000,https://www.facebook.com//marketplace/item/669754358627486/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007,Honda,civic,6499,190000,https://www.facebook.com//marketplace/item/6736373489743991/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,10800,59000,https://www.facebook.com//marketplace/item/6980263492018442/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Honda,civic,18000,183000,https://www.facebook.com//marketplace/item/885305126649272/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007,Honda,civic,4995,198000,https://www.facebook.com//marketplace/item/709371247774985/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,6995,174000,https://www.facebook.com//marketplace/item/682808963813466/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,9900,121000,https://www.facebook.com//marketplace/item/714633270527340/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,9750,126000,https://www.facebook.com//marketplace/item/276979511402161/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,2100,98000,https://www.facebook.com//marketplace/item/1052648539522683/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2006,Honda,civic,4800,119000,https://www.facebook.com//marketplace/item/1001374431156080/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004,Honda,civic,2500,189000,https://www.facebook.com//marketplace/item/190259507455359/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Honda,civic,8700,138000,https://www.facebook.com//marketplace/item/2540746502796474/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,1400,178000,https://www.facebook.com//marketplace/item/342134371656840/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,7000,160000,https://www.facebook.com//marketplace/item/1790671654781678/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,20995,112000,https://www.facebook.com//marketplace/item/1377846466173161/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Honda,civic,12000,195000,https://www.facebook.com//marketplace/item/244831615255250/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2002,Honda,civic,3750,139000,https://www.facebook.com//marketplace/item/327948783183680/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,15900,77000,https://www.facebook.com//marketplace/item/1204484257607598/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,Honda,civic,16950,139000,https://www.facebook.com//marketplace/item/1404900650378500/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,8845,181000,https://www.facebook.com//marketplace/item/646830407653561/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2010,Honda,civic,5999,145000,https://www.facebook.com//marketplace/item/860204315754480/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2013,Honda,civic,15000,145000,https://www.facebook.com//marketplace/item/848312466984683/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,Honda,civic,22800,86000,https://www.facebook.com//marketplace/item/229830289892940/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Honda,civic,12800,182000,https://www.facebook.com//marketplace/item/6109795889123413/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2004,Honda,civic,2800,125000,https://www.facebook.com//marketplace/item/828318575698632/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,15999,118000,https://www.facebook.com//marketplace/item/228785060034309/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Honda,civic,23999,121000,https://www.facebook.com//marketplace/item/1903474846735895/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,4450,159000,https://www.facebook.com//marketplace/item/1382946588959189/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2016,Honda,civic,16500,155000,https://www.facebook.com//marketplace/item/3573344182983557/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,13500,134000,https://www.facebook.com//marketplace/item/1492264778175649/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,7900,115000,https://www.facebook.com//marketplace/item/347483637729511/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,Honda,civic,2250,92000,https://www.facebook.com//marketplace/item/154132307783785/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,Honda,civic,22998,122000,https://www.facebook.com//marketplace/item/711299334226569/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,18999,163000,https://www.facebook.com//marketplace/item/1281541772552876/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2015,Honda,civic,10800,179000,https://www.facebook.com//marketplace/item/863763035053924/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,Honda,civic,15999,158000,https://www.facebook.com//marketplace/item/2046490132354350/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,7500,185000,https://www.facebook.com//marketplace/item/7589407137742219/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2014,Honda,civic,15500,159000,https://www.facebook.com//marketplace/item/1507102350054376/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,7000,200000,https://www.facebook.com//marketplace/item/269519979416343/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2012,Honda,civic,11999,147000,https://www.facebook.com//marketplace/item/1001383327635242/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,3800,191000,https://www.facebook.com//marketplace/item/1411515239781257/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2007,Honda,civic,5490,194000,https://www.facebook.com//marketplace/item/1696219710869880/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,4500,165000,https://www.facebook.com//marketplace/item/313286284748438/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2009,Honda,civic,7698,130000,https://www.facebook.com//marketplace/item/2046452495692308/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2008,Honda,civic,7500,177000,https://www.facebook.com//marketplace/item/1008567427040728/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
