City,Province,Year,Make,Model,Price,Mileage,URL
Moncton,NB,2010,Honda,civic,4500,170000,facebook.com/marketplace/item/790927115981218/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Moncton,NB,2016,Honda,civic,16500,176000,facebook.com/marketplace/item/550591577282477/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Moncton,NB,2012,Honda,civic,12000,198000,facebook.com/marketplace/item/7066306713384948/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Moncton,NB,2012,Honda,civic,13000,102000,facebook.com/marketplace/item/1449911362421633/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Riverview,NB,2015,Honda,civic,19999,112000,facebook.com/marketplace/item/1362966634561957/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Amherst,NS,2018,Honda,civic,23695,112000,facebook.com/marketplace/item/271998841879105/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Amherst,NS,2018,Honda,civic,23895,112000,facebook.com/marketplace/item/782779236909088/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Amherst,NS,2020,Honda,civic,27995,75000,facebook.com/marketplace/item/1601552856999209/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Prince,PE,2019,Honda,civic,26000,55000,facebook.com/marketplace/item/205167035773437/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Terrebonne,QC,2004,Honda,civic,3200,90000,facebook.com/marketplace/item/2337970519717840/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2015,Honda,civic,16500,95000,facebook.com/marketplace/item/1588623618286705/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Laval,QC,2009,Honda,civic,6700,163000,facebook.com/marketplace/item/3423058844629811/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2013,Honda,civic,11800,156000,facebook.com/marketplace/item/271792451925795/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2018,Honda,civic,17400,61000,facebook.com/marketplace/item/1110522613238589/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mont-Royal,QC,2015,Honda,civic,15500,62000,facebook.com/marketplace/item/268273248945698/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2005,Honda,civic,2750,190000,facebook.com/marketplace/item/717684186778478/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal-Est,QC,2013,Honda,civic,8999,160000,facebook.com/marketplace/item/135213896236437/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2009,Honda,civic,7950,149000,facebook.com/marketplace/item/306861214999474/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2009,Honda,civic,5900,180000,facebook.com/marketplace/item/1199859680676730/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2010,Honda,civic,6200,123000,facebook.com/marketplace/item/276164464811597/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,12995,119000,facebook.com/marketplace/item/603710181825692/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Assomption,QC,2015,Honda,civic,11495,193000,facebook.com/marketplace/item/147488238330709/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2012,Honda,civic,8500,169000,facebook.com/marketplace/item/3315331355350579/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Montreal,QC,2017,Honda,civic,12600,192000,facebook.com/marketplace/item/3659089184377658/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
